step,tokens,elapsed_s,loss,grad_norm,lr_mult
16520,2165309440,78.1,3.2266,0.100,1.0000
16540,2167930880,130.4,3.1206,0.101,1.0000
16560,2170552320,182.4,3.1841,0.102,1.0000
16580,2173173760,234.4,3.1827,0.101,1.0000
16600,2175795200,286.6,3.1477,0.106,1.0000
16620,2178416640,338.7,3.1361,0.100,1.0000
16640,2181038080,390.8,3.1654,0.104,1.0000
16660,2183659520,442.7,3.1926,0.110,1.0000
16680,2186280960,495.2,3.0926,0.098,1.0000
16700,2188902400,547.4,3.1255,0.103,1.0000
16720,2191523840,599.5,3.2307,0.100,1.0000
16740,2194145280,652.0,3.1926,0.102,1.0000
16760,2196766720,714.7,3.2304,0.103,1.0000
16780,2199388160,766.8,3.1930,0.102,1.0000
16800,2202009600,819.1,3.1531,0.101,1.0000
16820,2204631040,871.6,3.1526,0.103,1.0000
16840,2207252480,924.0,3.1507,0.103,1.0000
16860,2209873920,976.2,3.1272,0.103,1.0000
16880,2212495360,1028.4,3.1028,0.104,1.0000
16900,2215116800,1080.7,3.1523,0.105,1.0000
16920,2217738240,1132.8,3.1064,0.102,1.0000
16940,2220359680,1185.0,3.1287,0.102,1.0000
16960,2222981120,1237.3,3.0910,0.104,1.0000
16980,2225602560,1289.8,3.1991,0.106,1.0000
17000,2228224000,1342.4,3.1704,0.105,1.0000
17020,2230845440,1396.6,3.1771,0.104,1.0000
17040,2233466880,1449.3,3.1873,0.102,1.0000
17060,2236088320,1501.7,3.1107,0.101,1.0000
17080,2238709760,1554.3,3.1674,0.101,1.0000
17100,2241331200,1606.8,3.1602,0.101,1.0000
17120,2243952640,1659.3,3.1995,0.099,1.0000
17140,2246574080,1712.0,3.1504,0.105,1.0000
17160,2249195520,1764.4,3.2460,0.102,1.0000
17180,2251816960,1817.2,3.1061,0.100,1.0000
17200,2254438400,1869.6,3.0202,0.100,1.0000
17220,2257059840,1922.3,3.2562,0.103,1.0000
17240,2259681280,1974.9,3.0825,0.100,1.0000
17260,2262302720,2028.4,3.1322,0.100,1.0000
17280,2264924160,2081.1,3.0691,0.101,1.0000
17300,2267545600,2133.9,3.1250,0.100,1.0000
17320,2270167040,2186.7,3.1811,0.101,1.0000
17340,2272788480,2239.1,3.1332,0.104,1.0000
17360,2275409920,2292.0,3.1157,0.099,1.0000
17380,2278031360,2344.7,3.2293,0.102,1.0000
17400,2280652800,2397.4,3.1248,0.100,1.0000
17420,2283274240,2450.1,3.0774,0.102,1.0000
17440,2285895680,2502.9,3.1179,0.102,1.0000
17460,2288517120,2555.5,3.1341,0.104,1.0000
17480,2291138560,2607.9,3.1556,0.101,1.0000
17500,2293760000,2660.8,3.2215,0.101,1.0000
17520,2296381440,2715.1,3.1628,0.100,1.0000
17540,2299002880,2767.6,3.1862,0.100,1.0000
17560,2301624320,2820.3,3.1576,0.102,1.0000
17580,2304245760,2873.0,3.1264,0.101,1.0000
17600,2306867200,2925.6,3.2629,0.104,1.0000
17620,2309488640,2978.2,3.1170,0.104,1.0000
17640,2312110080,3030.9,3.1601,0.103,1.0000
17660,2314731520,3083.6,3.1578,0.100,1.0000
17680,2317352960,3136.2,3.2305,0.100,1.0000
17700,2319974400,3188.9,3.0931,0.098,1.0000
17720,2322595840,3241.7,3.1327,0.098,1.0000
17740,2325217280,3294.3,3.2129,0.103,1.0000
17760,2327838720,3347.9,3.1566,0.100,1.0000
17780,2330460160,3400.6,3.1278,0.104,1.0000
17800,2333081600,3453.3,3.1411,0.102,1.0000
17820,2335703040,3506.1,3.2160,0.103,1.0000
17840,2338324480,3558.7,3.1436,0.099,1.0000
17860,2340945920,3611.5,3.1474,0.099,1.0000
17880,2343567360,3664.2,3.0368,0.100,1.0000
17900,2346188800,3716.9,3.1415,0.102,1.0000
17920,2348810240,3769.4,3.2237,0.101,1.0000
17940,2351431680,3822.0,3.1329,0.100,1.0000
17960,2354053120,3874.7,3.0860,0.100,1.0000
17980,2356674560,3927.3,3.1422,0.103,1.0000
18000,2359296000,3980.1,3.1714,0.100,1.0000
18020,2361917440,4033.8,3.2331,0.103,1.0000
18040,2364538880,4086.5,3.1280,0.100,1.0000
18060,2367160320,4139.0,3.2171,0.101,1.0000
18080,2369781760,4191.4,3.1348,0.100,1.0000
18100,2372403200,4244.1,3.0953,0.108,1.0000
18120,2375024640,4296.6,3.2240,0.100,1.0000
18140,2377646080,4349.3,3.2003,0.100,1.0000
18160,2380267520,4401.5,3.0902,0.099,1.0000
18180,2382888960,4454.3,3.0892,0.098,1.0000
18200,2385510400,4506.7,3.1597,0.102,1.0000
18220,2388131840,4559.0,3.2149,0.103,1.0000
18240,2390753280,4611.7,3.1842,0.101,1.0000
18260,2393374720,4665.2,3.1290,0.099,1.0000
18280,2395996160,4717.6,3.1650,0.098,1.0000
18300,2398617600,4769.9,3.1785,0.101,1.0000
18320,2401239040,4822.5,3.1472,0.103,1.0000
18340,2403860480,4875.0,3.1165,0.099,1.0000
18360,2406481920,4927.3,3.1874,0.100,1.0000
18380,2409103360,4979.7,3.1477,0.101,1.0000
18400,2411724800,5032.2,3.1489,0.101,1.0000
18420,2414346240,5084.5,3.2519,0.102,1.0000
18440,2416967680,5136.9,3.2542,0.101,1.0000
18460,2419589120,5189.5,3.0948,0.099,1.0000
18480,2422210560,5242.1,3.2191,0.100,1.0000
18500,2424832000,5294.4,3.1294,0.103,1.0000
18520,2427453440,5349.0,3.0919,0.101,1.0000
18540,2430074880,5401.5,3.1280,0.101,1.0000
18560,2432696320,5453.8,3.1638,0.104,1.0000
18580,2435317760,5506.4,3.1423,0.100,1.0000
18600,2437939200,5559.0,3.2225,0.103,1.0000
18620,2440560640,5611.5,3.1768,0.099,1.0000
18640,2443182080,5663.9,3.1688,0.101,1.0000
18660,2445803520,5716.4,3.1682,0.099,1.0000
18680,2448424960,5769.0,3.0577,0.101,1.0000
18700,2451046400,5821.3,3.1541,0.102,1.0000
18720,2453667840,5873.8,3.1664,0.099,1.0000
18740,2456289280,5926.9,3.2310,0.100,1.0000
18760,2458910720,5982.6,3.0823,0.099,1.0000
18780,2461532160,6035.2,3.1546,0.100,1.0000
18800,2464153600,6087.6,3.0827,0.100,1.0000
18820,2466775040,6140.2,3.2179,0.102,1.0000
18840,2469396480,6192.5,3.1428,0.098,1.0000
18860,2472017920,6245.1,3.1786,0.100,1.0000
18880,2474639360,6297.5,3.0832,0.098,1.0000
18900,2477260800,6350.1,3.1528,0.101,1.0000
18920,2479882240,6402.8,3.2574,0.099,1.0000
