step,tokens,elapsed_s,loss,grad_norm,lr_mult
0,0,,9.1727,8.109,0.001
20,2621440,,8.9678,7.698,0.011
40,5242880,,8.4854,5.055,0.021
60,7864320,,8.1556,2.012,0.030
80,10485760,,7.8864,1.363,0.041
100,13107200,,7.6988,1.508,0.051
120,15728640,,7.4610,2.734,0.060
140,18350080,,7.1996,2.279,0.070
160,20971520,,6.9145,1.943,0.081
180,23592960,,6.6864,2.087,0.090
200,26214400,,6.4094,2.950,0.101
220,28835840,,6.3053,1.909,0.111
240,31457280,,6.0456,2.395,0.120
260,34078720,,6.0172,2.114,0.131
280,36700160,,5.8629,2.374,0.141
300,39321600,,5.7470,2.883,0.150
320,41943040,,5.5860,2.343,0.161
340,44564480,,5.3882,2.391,0.171
360,47185920,,5.3558,2.019,0.180
380,49807360,,5.2250,1.852,0.191
400,52428800,,5.1717,1.680,0.201
420,55050240,,5.0691,1.639,0.210
440,57671680,,5.0266,1.701,0.221
460,60293120,,4.9301,1.542,0.231
480,62914560,,4.8448,1.219,0.240
500,65536000,,4.8399,1.231,0.251
520,68157440,,4.7970,1.057,0.261
540,70778880,,4.7316,1.143,0.271
560,73400320,,4.7285,0.834,0.281
580,76021760,,4.6380,0.835,0.290
600,78643200,,4.6086,0.850,0.300
620,81264640,,4.6332,0.747,0.310
640,83886080,,4.5591,0.734,0.321
660,86507520,,4.5308,0.655,0.331
680,89128960,,4.4678,0.757,0.341
700,91750400,,4.4407,0.630,0.350
720,94371840,,4.4163,0.596,0.360
740,96993280,,4.4268,0.547,0.370
760,99614720,,4.3282,0.689,0.381
780,102236160,,4.3458,0.492,0.391
800,104857600,,4.3464,0.513,0.401
820,107479040,,4.3870,0.571,0.410
840,110100480,,4.3198,0.601,0.420
860,112721920,,4.2435,0.470,0.430
880,115343360,,4.2506,0.438,0.441
900,117964800,,4.1508,0.488,0.451
920,120586240,,4.1681,0.411,0.461
940,123207680,,4.1777,0.424,0.470
960,125829120,,4.2147,0.392,0.480
980,128450560,,4.2253,0.353,0.490
1000,131072000,,4.0769,0.395,0.500
1020,133693440,,4.1862,0.383,0.510
1040,136314880,,4.1170,0.350,0.520
1060,138936320,,4.2082,0.351,0.530
1080,141557760,,4.0609,0.316,0.540
1100,144179200,,4.0072,0.328,0.550
1120,146800640,,4.1288,0.310,0.560
1140,149422080,,4.0415,0.301,0.571
1160,152043520,,3.9831,0.323,0.581
1180,154664960,,4.0207,0.284,0.591
1200,157286400,,4.0193,0.304,0.601
1220,159907840,,3.9287,0.289,0.611
1240,162529280,,4.0024,0.286,0.621
1260,165150720,,3.9777,0.261,0.630
1280,167772160,,4.0114,0.271,0.640
1300,170393600,,3.9411,0.291,0.650
1320,173015040,,3.9851,0.302,0.660
1340,175636480,,3.9195,0.280,0.670
1360,178257920,,3.9328,0.270,0.680
1380,180879360,,3.9447,0.252,0.691
1400,183500800,,3.9370,0.246,0.701
1420,186122240,,3.9784,0.248,0.711
1440,188743680,,3.8861,0.244,0.721
