[stream 21:32:37] streaming root@<host>:/mnt/<volume>/data/clean -> /workspace/data/clean/tokens.bin (parallel encode_batch)
Warning: Permanently added '<host>' (ED25519) to the list of known hosts.
20000 docs, 691.3M tokens
40000 docs, 988.1M tokens
60000 docs, 1330.4M tokens
80000 docs, 1712.3M tokens
100000 docs, 2344.0M tokens
120000 docs, 2841.7M tokens
140000 docs, 3205.9M tokens
160000 docs, 3645.6M tokens
180000 docs, 3985.6M tokens
200000 docs, 4340.6M tokens
DONE 219957 docs, 5402429161 tokens -> /workspace/data/clean/tokens.bin
[stream 22:03:03] pipeline done rc=0 tokens.bin=11G
