step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
0,0,69.7,1786107816.7,9.2084,10.539,0.0003,0
20,5242880,232.9,1786107979.9,9.0489,10.138,0.0070,32125
40,10485760,361.5,1786108108.5,8.6008,8.005,0.0137,40765
60,15728640,490.2,1786108237.2,8.1888,3.954,0.0203,40745
80,20971520,618.9,1786108365.8,7.8508,1.807,0.0270,40741
100,26214400,747.5,1786108494.5,7.5977,1.271,0.0337,40741
120,31457280,876.1,1786108623.1,7.3350,2.893,0.0403,40777
140,36700160,1005.5,1786108752.5,7.0663,3.876,0.0470,40528
160,41943040,1134.3,1786108881.2,6.7580,4.449,0.0537,40714
180,47185920,1263.0,1786109010.0,6.5004,4.012,0.0603,40716
200,52428800,1391.8,1786109138.8,6.2128,4.830,0.0670,40713
220,57671680,1520.6,1786109267.5,6.0635,4.965,0.0737,40719
240,62914560,1649.4,1786109396.3,5.8687,4.162,0.0803,40704
260,68157440,1796.7,1786109543.7,5.7416,4.343,0.0870,35592
280,73400320,1925.3,1786109672.3,5.6262,4.595,0.0937,40745
300,78643200,2054.1,1786109801.1,5.4422,4.679,0.1003,40725
320,83886080,2182.9,1786109929.9,5.3405,5.974,0.1070,40700
340,89128960,2311.7,1786110058.7,5.1618,5.479,0.1137,40711
360,94371840,2440.5,1786110187.4,5.0869,5.417,0.1203,40714
380,99614720,2569.4,1786110316.4,4.9054,5.993,0.1270,40661
400,104857600,2698.1,1786110445.1,4.7464,4.529,0.1337,40743
420,110100480,2826.8,1786110573.8,4.7555,4.078,0.1403,40736
440,115343360,2955.6,1786110702.6,4.6836,4.408,0.1470,40695
460,120586240,3084.3,1786110831.3,4.6103,3.694,0.1537,40744
480,125829120,3213.1,1786110960.1,4.5086,3.444,0.1603,40714
500,131072000,3341.9,1786111088.9,4.4618,2.818,0.1670,40690
520,136314880,3487.2,1786111234.1,4.4606,3.046,0.1737,36097
540,141557760,3616.1,1786111363.0,4.4171,2.424,0.1803,40672
560,146800640,3744.9,1786111491.8,4.4007,2.491,0.1870,40709
580,152043520,3873.7,1786111620.7,4.3177,2.204,0.1937,40681
600,157286400,4002.6,1786111749.6,4.2457,2.181,0.2003,40691
620,162529280,4131.7,1786111878.7,4.2214,1.747,0.2070,40612
640,167772160,4260.4,1786112007.4,4.1641,1.662,0.2137,40731
660,173015040,4389.2,1786112136.2,4.0915,1.609,0.2203,40709
680,178257920,4517.9,1786112264.9,4.1439,1.450,0.2270,40723
700,183500800,4646.8,1786112393.7,4.0810,1.670,0.2337,40696
720,188743680,4775.5,1786112522.5,4.0733,1.308,0.2403,40714
740,193986560,4904.3,1786112651.3,3.9816,1.302,0.2470,40721
760,199229440,5049.9,1786112796.9,4.0197,1.173,0.2537,35993
780,204472320,5178.8,1786112925.8,4.0073,1.070,0.2603,40683
800,209715200,5307.7,1786113054.7,3.9536,1.120,0.2670,40682
820,214958080,5436.5,1786113183.5,3.9106,1.187,0.2737,40713
840,220200960,5565.3,1786113312.3,3.9676,0.969,0.2803,40681
860,225443840,5694.5,1786113441.5,3.8733,0.880,0.2870,40591
880,230686720,5823.3,1786113570.3,3.9176,0.819,0.2937,40695
900,235929600,5952.1,1786113699.1,3.8923,0.904,0.3003,40709
920,241172480,6081.0,1786113828.0,3.8702,0.780,0.3070,40690
940,246415360,6209.9,1786113956.8,3.8253,0.702,0.3137,40685
960,251658240,6338.7,1786114085.7,3.7747,0.635,0.3203,40686
980,256901120,6467.6,1786114214.6,3.7387,0.767,0.3270,40664
1000,262144000,6596.5,1786114343.5,3.7374,0.692,0.3337,40673
1020,267386880,6742.8,1786114489.8,3.7791,0.694,0.3403,35841
1040,272629760,6871.6,1786114618.6,3.8077,0.629,0.3470,40704
1060,277872640,7000.5,1786114747.4,3.7431,0.666,0.3537,40695
1080,283115520,7129.3,1786114876.3,3.7321,0.541,0.3603,40691
1100,288358400,7258.1,1786115005.1,3.7048,0.536,0.3670,40694
1120,293601280,7387.2,1786115134.2,3.6665,0.520,0.3737,40627
1140,298844160,7516.0,1786115263.0,3.6538,0.494,0.3803,40701
1160,304087040,7644.8,1786115391.7,3.6926,0.462,0.3870,40722
1180,309329920,7773.4,1786115520.3,3.7188,0.469,0.3937,40771
1200,314572800,7902.0,1786115649.0,3.6701,0.517,0.4003,40755
1220,319815680,8030.7,1786115777.7,3.6664,0.564,0.4070,40733
1240,325058560,8159.5,1786115906.4,3.6560,0.461,0.4137,40721
1260,330301440,8306.2,1786116053.2,3.6261,0.428,0.4203,35725
1280,335544320,8435.0,1786116181.9,3.6734,0.452,0.4270,40724
1300,340787200,8563.6,1786116310.5,3.6126,0.412,0.4337,40768
1320,346030080,8692.2,1786116439.2,3.6120,0.428,0.4403,40753
1340,351272960,8820.7,1786116567.7,3.5710,0.408,0.4470,40790
1360,356515840,8949.6,1786116696.6,3.5629,0.399,0.4537,40683
1380,361758720,9078.4,1786116825.3,3.5484,0.412,0.4603,40725
1400,367001600,9207.0,1786116954.0,3.5680,0.398,0.4670,40746
1420,372244480,9335.6,1786117082.6,3.5315,0.373,0.4737,40771
1440,377487360,9464.4,1786117211.4,3.5380,0.376,0.4803,40721
1460,382730240,9593.0,1786117340.0,3.5749,0.374,0.4870,40770
1480,387973120,9721.6,1786117468.6,3.6326,0.333,0.4937,40749
1500,393216000,9850.3,1786117597.3,3.5402,0.324,0.5003,40741
1520,398458880,9996.6,1786117743.6,3.5689,0.350,0.5070,35831
1540,403701760,10125.2,1786117872.2,3.5290,0.346,0.5137,40773
1560,408944640,10253.8,1786118000.8,3.5052,0.352,0.5203,40770
1580,414187520,10382.5,1786118129.5,3.4900,0.297,0.5270,40747
1600,419430400,10511.6,1786118258.6,3.4966,0.303,0.5337,40609
1620,424673280,10640.4,1786118387.4,3.4670,0.304,0.5403,40709
1640,429916160,10769.3,1786118516.2,3.4668,0.319,0.5470,40687
1660,435159040,10898.1,1786118645.1,3.5375,0.336,0.5537,40691
1680,440401920,11027.0,1786118774.0,3.4735,0.263,0.5603,40681
1700,445644800,11155.9,1786118902.9,3.4531,0.264,0.5670,40670
1720,450887680,11284.7,1786119031.7,3.5004,0.287,0.5737,40687
1740,456130560,11413.5,1786119160.5,3.5023,0.306,0.5803,40712
1760,461373440,11558.1,1786119305.1,3.4480,0.279,0.5870,36255
1780,466616320,11686.9,1786119433.9,3.4483,0.271,0.5937,40710
