Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 349.1M params | GQA 18q/6kv | Muon+AdamW
step      0 | loss 9.2090 | grad_norm 10.719 | lr x0.000
           val loss 9.1994
           VRAM: 25.2 GB used / 25.3 GB reserved
step     20 | loss 9.0424 | grad_norm 10.318 | lr x0.007
step     40 | loss 8.5805 | grad_norm 8.210 | lr x0.014
step     60 | loss 8.1821 | grad_norm 3.915 | lr x0.020
step     80 | loss 7.8534 | grad_norm 1.811 | lr x0.027
step    100 | loss 7.6106 | grad_norm 1.280 | lr x0.034
step    120 | loss 7.3504 | grad_norm 2.833 | lr x0.040
step    140 | loss 7.0938 | grad_norm 3.438 | lr x0.047
step    160 | loss 6.7758 | grad_norm 7.070 | lr x0.054
step    180 | loss 6.4983 | grad_norm 3.475 | lr x0.060
step    200 | loss 6.2401 | grad_norm 4.248 | lr x0.067
step    220 | loss 6.0315 | grad_norm 4.066 | lr x0.074
step    240 | loss 5.8819 | grad_norm 4.194 | lr x0.080
           val loss 5.9795
step    260 | loss 5.7478 | grad_norm 4.916 | lr x0.087
step    280 | loss 5.6333 | grad_norm 4.436 | lr x0.094
step    300 | loss 5.4943 | grad_norm 4.587 | lr x0.100
step    320 | loss 5.3202 | grad_norm 4.684 | lr x0.107
step    340 | loss 5.1649 | grad_norm 6.421 | lr x0.114
step    360 | loss 5.0973 | grad_norm 5.667 | lr x0.120
step    380 | loss 5.0310 | grad_norm 5.689 | lr x0.127
step    400 | loss 4.9205 | grad_norm 4.280 | lr x0.134
step    420 | loss 4.7864 | grad_norm 4.329 | lr x0.140
step    440 | loss 4.7422 | grad_norm 4.171 | lr x0.147
step    460 | loss 4.6759 | grad_norm 4.179 | lr x0.154
step    480 | loss 4.5970 | grad_norm 3.467 | lr x0.160
step    500 | loss 4.5097 | grad_norm 2.883 | lr x0.167
           val loss 4.7681
step    520 | loss 4.4723 | grad_norm 2.763 | lr x0.174
step    540 | loss 4.3913 | grad_norm 2.488 | lr x0.180
step    560 | loss 4.4052 | grad_norm 1.931 | lr x0.187
step    580 | loss 4.2940 | grad_norm 2.217 | lr x0.194
step    600 | loss 4.2661 | grad_norm 1.817 | lr x0.200
step    620 | loss 4.2760 | grad_norm 1.860 | lr x0.207
step    640 | loss 4.2233 | grad_norm 1.686 | lr x0.214
step    660 | loss 4.2063 | grad_norm 1.769 | lr x0.220
step    680 | loss 4.1990 | grad_norm 1.573 | lr x0.227
step    700 | loss 4.1755 | grad_norm 1.313 | lr x0.234
step    720 | loss 4.0565 | grad_norm 1.319 | lr x0.240
step    740 | loss 4.0642 | grad_norm 1.317 | lr x0.247
           val loss 4.3240
step    760 | loss 3.9784 | grad_norm 1.254 | lr x0.254
step    780 | loss 4.0045 | grad_norm 0.984 | lr x0.260
step    800 | loss 3.9572 | grad_norm 0.934 | lr x0.267
step    820 | loss 3.9003 | grad_norm 1.080 | lr x0.274
step    840 | loss 3.9585 | grad_norm 0.899 | lr x0.280
step    860 | loss 3.9661 | grad_norm 0.841 | lr x0.287
step    880 | loss 3.8991 | grad_norm 0.774 | lr x0.294
step    900 | loss 3.9404 | grad_norm 0.902 | lr x0.300
step    920 | loss 3.9009 | grad_norm 0.748 | lr x0.307
step    940 | loss 3.8800 | grad_norm 0.694 | lr x0.314
step    960 | loss 3.7664 | grad_norm 0.672 | lr x0.320
step    980 | loss 3.7954 | grad_norm 0.716 | lr x0.327
step   1000 | loss 3.8561 | grad_norm 0.593 | lr x0.334
           val loss 4.0257
step   1020 | loss 3.7645 | grad_norm 0.712 | lr x0.340
step   1040 | loss 3.7697 | grad_norm 0.629 | lr x0.347
step   1060 | loss 3.7662 | grad_norm 0.567 | lr x0.354
step   1080 | loss 3.7323 | grad_norm 0.620 | lr x0.360
step   1100 | loss 3.7422 | grad_norm 0.547 | lr x0.367
step   1120 | loss 3.6919 | grad_norm 0.514 | lr x0.374
step   1140 | loss 3.7281 | grad_norm 0.518 | lr x0.380
step   1160 | loss 3.7231 | grad_norm 0.517 | lr x0.387
step   1180 | loss 3.6852 | grad_norm 0.529 | lr x0.394
step   1200 | loss 3.6204 | grad_norm 0.447 | lr x0.400
step   1220 | loss 3.6580 | grad_norm 0.475 | lr x0.407
step   1240 | loss 3.6597 | grad_norm 0.419 | lr x0.414
           val loss 3.9239
step   1260 | loss 3.6660 | grad_norm 0.459 | lr x0.420
step   1280 | loss 3.6105 | grad_norm 0.393 | lr x0.427
step   1300 | loss 3.6595 | grad_norm 0.436 | lr x0.434
step   1320 | loss 3.6954 | grad_norm 0.404 | lr x0.440
step   1340 | loss 3.6298 | grad_norm 0.376 | lr x0.447
step   1360 | loss 3.6978 | grad_norm 0.460 | lr x0.454
step   1380 | loss 3.6108 | grad_norm 0.366 | lr x0.460
step   1400 | loss 3.5476 | grad_norm 0.360 | lr x0.467
step   1420 | loss 3.5790 | grad_norm 0.355 | lr x0.474
step   1440 | loss 3.6149 | grad_norm 0.369 | lr x0.480
step   1460 | loss 3.5940 | grad_norm 0.323 | lr x0.487
step   1480 | loss 3.5666 | grad_norm 0.347 | lr x0.494
step   1500 | loss 3.5425 | grad_norm 0.337 | lr x0.500
           val loss 3.8042
step   1520 | loss 3.5815 | grad_norm 0.325 | lr x0.507
step   1540 | loss 3.4991 | grad_norm 0.332 | lr x0.514
step   1560 | loss 3.5025 | grad_norm 0.326 | lr x0.520
step   1580 | loss 3.5094 | grad_norm 0.309 | lr x0.527
step   1600 | loss 3.5566 | grad_norm 0.310 | lr x0.534
step   1620 | loss 3.6137 | grad_norm 0.282 | lr x0.540
step   1640 | loss 3.6006 | grad_norm 0.308 | lr x0.547
step   1660 | loss 3.5087 | grad_norm 0.293 | lr x0.554
step   1680 | loss 3.5318 | grad_norm 0.279 | lr x0.560
step   1700 | loss 3.4844 | grad_norm 0.293 | lr x0.567
step   1720 | loss 3.4640 | grad_norm 0.288 | lr x0.574
step   1740 | loss 3.5128 | grad_norm 0.289 | lr x0.580
           val loss 3.6764
step   1760 | loss 3.5115 | grad_norm 0.291 | lr x0.587
step   1780 | loss 3.4574 | grad_norm 0.240 | lr x0.594
step   1800 | loss 3.4430 | grad_norm 0.274 | lr x0.600
step   1820 | loss 3.4505 | grad_norm 0.278 | lr x0.607
step   1840 | loss 3.4574 | grad_norm 0.291 | lr x0.614
step   1860 | loss 3.4321 | grad_norm 0.255 | lr x0.620
step   1880 | loss 3.4260 | grad_norm 0.244 | lr x0.627
step   1900 | loss 3.4077 | grad_norm 0.281 | lr x0.634
step   1920 | loss 3.4470 | grad_norm 0.248 | lr x0.640
step   1940 | loss 3.4588 | grad_norm 0.264 | lr x0.647
step   1960 | loss 3.4079 | grad_norm 0.247 | lr x0.654
step   1980 | loss 3.3904 | grad_norm 0.262 | lr x0.660
step   2000 | loss 3.4774 | grad_norm 0.224 | lr x0.667
           val loss 3.6666
step   2020 | loss 3.4360 | grad_norm 0.239 | lr x0.674
step   2040 | loss 3.4039 | grad_norm 0.233 | lr x0.680
step   2060 | loss 3.3758 | grad_norm 0.254 | lr x0.687
step   2080 | loss 3.3887 | grad_norm 0.215 | lr x0.694
step   2100 | loss 3.4429 | grad_norm 0.227 | lr x0.700
step   2120 | loss 3.4544 | grad_norm 0.209 | lr x0.707
step   2140 | loss 3.3213 | grad_norm 0.220 | lr x0.714
step   2160 | loss 3.3927 | grad_norm 0.208 | lr x0.720
step   2180 | loss 3.4445 | grad_norm 0.226 | lr x0.727
step   2200 | loss 3.4580 | grad_norm 0.217 | lr x0.734
step   2220 | loss 3.3908 | grad_norm 0.212 | lr x0.740
step   2240 | loss 3.3789 | grad_norm 0.201 | lr x0.747
           val loss 3.6647
step   2260 | loss 3.3548 | grad_norm 0.206 | lr x0.754
step   2280 | loss 3.3988 | grad_norm 0.228 | lr x0.760
step   2300 | loss 3.3490 | grad_norm 0.208 | lr x0.767
step   2320 | loss 3.3550 | grad_norm 0.193 | lr x0.774
step   2340 | loss 3.3912 | grad_norm 0.195 | lr x0.780
step   2360 | loss 3.3379 | grad_norm 0.205 | lr x0.787
step   2380 | loss 3.3431 | grad_norm 0.208 | lr x0.794
step   2400 | loss 3.4148 | grad_norm 0.196 | lr x0.800
step   2420 | loss 3.2805 | grad_norm 0.189 | lr x0.807
step   2440 | loss 3.3444 | grad_norm 0.192 | lr x0.814
step   2460 | loss 3.3506 | grad_norm 0.193 | lr x0.820
step   2480 | loss 3.2713 | grad_norm 0.196 | lr x0.827
step   2500 | loss 3.3199 | grad_norm 0.187 | lr x0.834
           val loss 3.6240
step   2520 | loss 3.3402 | grad_norm 0.194 | lr x0.840
step   2540 | loss 3.3887 | grad_norm 0.187 | lr x0.847
step   2560 | loss 3.3730 | grad_norm 0.186 | lr x0.854
step   2580 | loss 3.2505 | grad_norm 0.194 | lr x0.860
step   2600 | loss 3.3333 | grad_norm 0.193 | lr x0.867
step   2620 | loss 3.3185 | grad_norm 0.182 | lr x0.874
step   2640 | loss 3.3073 | grad_norm 0.195 | lr x0.880
step   2660 | loss 3.3165 | grad_norm 0.184 | lr x0.887
step   2680 | loss 3.2916 | grad_norm 0.173 | lr x0.894
