step,tokens,elapsed_s,loss,grad_norm,lr_mult
0,0,,9.2090,10.719,0.0000
20,5242880,,9.0424,10.318,0.0070
40,10485760,,8.5805,8.210,0.0140
60,15728640,,8.1821,3.915,0.0200
80,20971520,,7.8534,1.811,0.0270
100,26214400,,7.6106,1.280,0.0340
120,31457280,,7.3504,2.833,0.0400
140,36700160,,7.0938,3.438,0.0470
160,41943040,,6.7758,7.070,0.0540
180,47185920,,6.4983,3.475,0.0600
200,52428800,,6.2401,4.248,0.0670
220,57671680,,6.0315,4.066,0.0740
240,62914560,,5.8819,4.194,0.0800
260,68157440,,5.7478,4.916,0.0870
280,73400320,,5.6333,4.436,0.0940
300,78643200,,5.4943,4.587,0.1000
320,83886080,,5.3202,4.684,0.1070
340,89128960,,5.1649,6.421,0.1140
360,94371840,,5.0973,5.667,0.1200
380,99614720,,5.0310,5.689,0.1270
400,104857600,,4.9205,4.280,0.1340
420,110100480,,4.7864,4.329,0.1400
440,115343360,,4.7422,4.171,0.1470
460,120586240,,4.6759,4.179,0.1540
480,125829120,,4.5970,3.467,0.1600
500,131072000,,4.5097,2.883,0.1670
520,136314880,,4.4723,2.763,0.1740
540,141557760,,4.3913,2.488,0.1800
560,146800640,,4.4052,1.931,0.1870
580,152043520,,4.2940,2.217,0.1940
600,157286400,,4.2661,1.817,0.2000
620,162529280,,4.2760,1.860,0.2070
640,167772160,,4.2233,1.686,0.2140
660,173015040,,4.2063,1.769,0.2200
680,178257920,,4.1990,1.573,0.2270
700,183500800,,4.1755,1.313,0.2340
720,188743680,,4.0565,1.319,0.2400
740,193986560,,4.0642,1.317,0.2470
760,199229440,,3.9784,1.254,0.2540
780,204472320,,4.0045,0.984,0.2600
800,209715200,,3.9572,0.934,0.2670
820,214958080,,3.9003,1.080,0.2740
840,220200960,,3.9585,0.899,0.2800
860,225443840,,3.9661,0.841,0.2870
880,230686720,,3.8991,0.774,0.2940
900,235929600,,3.9404,0.902,0.3000
920,241172480,,3.9009,0.748,0.3070
940,246415360,,3.8800,0.694,0.3140
960,251658240,,3.7664,0.672,0.3200
980,256901120,,3.7954,0.716,0.3270
1000,262144000,,3.8561,0.593,0.3340
1020,267386880,,3.7645,0.712,0.3400
1040,272629760,,3.7697,0.629,0.3470
1060,277872640,,3.7662,0.567,0.3540
1080,283115520,,3.7323,0.620,0.3600
1100,288358400,,3.7422,0.547,0.3670
1120,293601280,,3.6919,0.514,0.3740
1140,298844160,,3.7281,0.518,0.3800
1160,304087040,,3.7231,0.517,0.3870
1180,309329920,,3.6852,0.529,0.3940
1200,314572800,,3.6204,0.447,0.4000
1220,319815680,,3.6580,0.475,0.4070
1240,325058560,,3.6597,0.419,0.4140
