Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 47.1M params | GQA 9q/3kv | Muon+AdamW
step      0 | loss 9.1161 | grad_norm 6.533 | lr x0.000
           val loss 9.1199
           VRAM: 23.3 GB used / 23.5 GB reserved
step     20 | loss 9.0343 | grad_norm 6.635 | lr x0.007
step     40 | loss 8.8135 | grad_norm 5.361 | lr x0.014
step     60 | loss 8.5292 | grad_norm 3.903 | lr x0.020
step     80 | loss 8.2818 | grad_norm 2.124 | lr x0.027
step    100 | loss 8.0804 | grad_norm 1.163 | lr x0.034
step    120 | loss 7.9438 | grad_norm 1.010 | lr x0.040
step    140 | loss 7.7711 | grad_norm 1.346 | lr x0.047
step    160 | loss 7.6466 | grad_norm 1.441 | lr x0.054
step    180 | loss 7.4338 | grad_norm 1.786 | lr x0.060
step    200 | loss 7.2319 | grad_norm 2.092 | lr x0.067
step    220 | loss 7.0346 | grad_norm 2.283 | lr x0.074
step    240 | loss 6.8286 | grad_norm 2.959 | lr x0.080
           val loss 6.8671
step    260 | loss 6.6952 | grad_norm 2.875 | lr x0.087
step    280 | loss 6.5351 | grad_norm 2.572 | lr x0.094
step    300 | loss 6.3533 | grad_norm 3.351 | lr x0.100
step    320 | loss 6.2776 | grad_norm 3.200 | lr x0.107
step    340 | loss 6.1055 | grad_norm 3.056 | lr x0.114
step    360 | loss 5.9408 | grad_norm 3.272 | lr x0.120
step    380 | loss 5.8508 | grad_norm 4.300 | lr x0.127
step    400 | loss 5.7062 | grad_norm 3.154 | lr x0.134
step    420 | loss 5.6012 | grad_norm 3.681 | lr x0.140
step    440 | loss 5.4968 | grad_norm 4.006 | lr x0.147
step    460 | loss 5.3362 | grad_norm 3.459 | lr x0.154
step    480 | loss 5.3214 | grad_norm 3.239 | lr x0.160
step    500 | loss 5.2421 | grad_norm 2.916 | lr x0.167
           val loss 5.4731
step    520 | loss 5.1832 | grad_norm 3.111 | lr x0.174
step    540 | loss 5.0413 | grad_norm 2.965 | lr x0.180
step    560 | loss 4.9841 | grad_norm 2.450 | lr x0.187
step    580 | loss 4.9574 | grad_norm 2.283 | lr x0.194
step    600 | loss 4.8929 | grad_norm 2.741 | lr x0.200
step    620 | loss 4.8896 | grad_norm 2.187 | lr x0.207
step    640 | loss 4.7952 | grad_norm 1.957 | lr x0.214
step    660 | loss 4.7556 | grad_norm 1.770 | lr x0.220
step    680 | loss 4.6630 | grad_norm 1.687 | lr x0.227
step    700 | loss 4.6870 | grad_norm 1.422 | lr x0.234
step    720 | loss 4.6319 | grad_norm 1.650 | lr x0.240
step    740 | loss 4.5700 | grad_norm 1.351 | lr x0.247
           val loss 4.8122
step    760 | loss 4.5597 | grad_norm 1.399 | lr x0.254
step    780 | loss 4.5229 | grad_norm 1.310 | lr x0.260
step    800 | loss 4.5180 | grad_norm 1.332 | lr x0.267
step    820 | loss 4.4322 | grad_norm 1.241 | lr x0.274
step    840 | loss 4.4300 | grad_norm 1.165 | lr x0.280
step    860 | loss 4.4315 | grad_norm 1.267 | lr x0.287
step    880 | loss 4.4117 | grad_norm 1.197 | lr x0.294
step    900 | loss 4.3561 | grad_norm 1.094 | lr x0.300
step    920 | loss 4.2744 | grad_norm 0.976 | lr x0.307
step    940 | loss 4.3062 | grad_norm 1.113 | lr x0.314
step    960 | loss 4.3535 | grad_norm 1.044 | lr x0.320
step    980 | loss 4.2452 | grad_norm 0.887 | lr x0.327
step   1000 | loss 4.2451 | grad_norm 0.805 | lr x0.334
           val loss 4.4383
step   1020 | loss 4.2383 | grad_norm 0.765 | lr x0.340
step   1040 | loss 4.2278 | grad_norm 0.859 | lr x0.347
step   1060 | loss 4.1692 | grad_norm 0.849 | lr x0.354
step   1080 | loss 4.1867 | grad_norm 0.748 | lr x0.360
step   1100 | loss 4.1461 | grad_norm 0.790 | lr x0.367
step   1120 | loss 4.1912 | grad_norm 0.768 | lr x0.374
step   1140 | loss 4.1499 | grad_norm 0.648 | lr x0.380
step   1160 | loss 4.1510 | grad_norm 0.612 | lr x0.387
step   1180 | loss 4.1039 | grad_norm 0.699 | lr x0.394
step   1200 | loss 4.1198 | grad_norm 0.654 | lr x0.400
step   1220 | loss 4.0944 | grad_norm 0.637 | lr x0.407
step   1240 | loss 4.0671 | grad_norm 0.661 | lr x0.414
           val loss 4.2730
step   1260 | loss 4.0207 | grad_norm 0.582 | lr x0.420
step   1280 | loss 4.0303 | grad_norm 0.589 | lr x0.427
step   1300 | loss 4.0190 | grad_norm 0.636 | lr x0.434
step   1320 | loss 4.0451 | grad_norm 0.552 | lr x0.440
step   1340 | loss 4.0703 | grad_norm 0.560 | lr x0.447
step   1360 | loss 4.0104 | grad_norm 0.559 | lr x0.454
step   1380 | loss 3.9642 | grad_norm 0.610 | lr x0.460
step   1400 | loss 3.9782 | grad_norm 0.482 | lr x0.467
step   1420 | loss 3.9807 | grad_norm 0.551 | lr x0.474
step   1440 | loss 4.0160 | grad_norm 0.444 | lr x0.480
step   1460 | loss 3.9514 | grad_norm 0.500 | lr x0.487
step   1480 | loss 3.9719 | grad_norm 0.516 | lr x0.494
step   1500 | loss 3.9453 | grad_norm 0.511 | lr x0.500
           val loss 4.1248
step   1520 | loss 3.9011 | grad_norm 0.506 | lr x0.507
step   1540 | loss 3.9100 | grad_norm 0.517 | lr x0.514
step   1560 | loss 3.8804 | grad_norm 0.483 | lr x0.520
step   1580 | loss 3.9180 | grad_norm 0.468 | lr x0.527
step   1600 | loss 3.9026 | grad_norm 0.481 | lr x0.534
step   1620 | loss 3.8895 | grad_norm 0.397 | lr x0.540
step   1640 | loss 3.8108 | grad_norm 0.450 | lr x0.547
step   1660 | loss 3.8850 | grad_norm 0.450 | lr x0.554
step   1680 | loss 3.9009 | grad_norm 0.437 | lr x0.560
step   1700 | loss 3.8710 | grad_norm 0.419 | lr x0.567
step   1720 | loss 3.7577 | grad_norm 0.377 | lr x0.574
step   1740 | loss 3.9009 | grad_norm 0.398 | lr x0.580
           val loss 4.0590
step   1760 | loss 3.8187 | grad_norm 0.383 | lr x0.587
step   1780 | loss 3.8095 | grad_norm 0.376 | lr x0.594
step   1800 | loss 3.8065 | grad_norm 0.365 | lr x0.600
step   1820 | loss 3.8500 | grad_norm 0.340 | lr x0.607
step   1840 | loss 3.8187 | grad_norm 0.381 | lr x0.614
step   1860 | loss 3.7122 | grad_norm 0.349 | lr x0.620
step   1880 | loss 3.8014 | grad_norm 0.361 | lr x0.627
step   1900 | loss 3.8105 | grad_norm 0.364 | lr x0.634
step   1920 | loss 3.7626 | grad_norm 0.341 | lr x0.640
step   1940 | loss 3.7235 | grad_norm 0.366 | lr x0.647
step   1960 | loss 3.7807 | grad_norm 0.356 | lr x0.654
step   1980 | loss 3.7928 | grad_norm 0.354 | lr x0.660
step   2000 | loss 3.7832 | grad_norm 0.353 | lr x0.667
           val loss 3.9929
step   2020 | loss 3.8107 | grad_norm 0.322 | lr x0.674
step   2040 | loss 3.7777 | grad_norm 0.337 | lr x0.680
step   2060 | loss 3.7476 | grad_norm 0.334 | lr x0.687
step   2080 | loss 3.7750 | grad_norm 0.320 | lr x0.694
step   2100 | loss 3.7747 | grad_norm 0.318 | lr x0.700
step   2120 | loss 3.7619 | grad_norm 0.323 | lr x0.707
