step,tokens,elapsed_s,loss,grad_norm,lr_mult
0,0,41.8,9.1162,6.533,0.0003
20,5242880,113.9,9.0337,6.236,0.0070
40,10485760,161.2,8.8063,5.511,0.0137
60,15728640,208.0,8.5343,3.912,0.0203
80,20971520,253.5,8.2980,2.107,0.0270
100,26214400,298.2,8.0865,1.174,0.0337
120,31457280,342.9,7.9404,1.012,0.0403
0,0,40.4,9.1161,6.533,0.0003
20,5242880,101.4,9.0343,6.635,0.0070
40,10485760,139.4,8.8135,5.361,0.0137
60,15728640,176.7,8.5292,3.903,0.0203
80,20971520,212.9,8.2818,2.124,0.0270
100,26214400,248.8,8.0804,1.163,0.0337
120,31457280,284.4,7.9438,1.010,0.0403
140,36700160,319.4,7.7711,1.346,0.0470
160,41943040,353.5,7.6466,1.441,0.0537
180,47185920,387.8,7.4338,1.786,0.0603
200,52428800,422.9,7.2319,2.092,0.0670
220,57671680,455.9,7.0346,2.283,0.0737
240,62914560,489.0,6.8286,2.959,0.0803
260,68157440,524.6,6.6952,2.875,0.0870
280,73400320,556.0,6.5351,2.572,0.0937
300,78643200,586.9,6.3533,3.351,0.1003
320,83886080,617.6,6.2776,3.200,0.1070
340,89128960,648.2,6.1055,3.056,0.1137
360,94371840,678.7,5.9408,3.272,0.1203
380,99614720,709.5,5.8508,4.300,0.1270
400,104857600,740.7,5.7062,3.154,0.1337
420,110100480,770.4,5.6012,3.681,0.1403
440,115343360,800.2,5.4968,4.006,0.1470
460,120586240,829.5,5.3362,3.459,0.1537
480,125829120,858.9,5.3214,3.239,0.1603
500,131072000,887.9,5.2421,2.916,0.1670
520,136314880,920.0,5.1832,3.111,0.1737
540,141557760,949.3,5.0413,2.965,0.1803
560,146800640,978.3,4.9841,2.450,0.1870
580,152043520,1007.0,4.9574,2.283,0.1937
600,157286400,1035.4,4.8929,2.741,0.2003
620,162529280,1063.7,4.8896,2.187,0.2070
640,167772160,1091.5,4.7952,1.957,0.2137
660,173015040,1119.2,4.7556,1.770,0.2203
680,178257920,1146.8,4.6630,1.687,0.2270
700,183500800,1174.8,4.6870,1.422,0.2337
720,188743680,1202.8,4.6319,1.650,0.2403
740,193986560,1230.9,4.5700,1.351,0.2470
760,199229440,1261.5,4.5597,1.399,0.2537
780,204472320,1291.8,4.5229,1.310,0.2603
800,209715200,1318.1,4.5180,1.332,0.2670
820,214958080,1343.7,4.4322,1.241,0.2737
840,220200960,1369.2,4.4300,1.165,0.2803
860,225443840,1394.8,4.4315,1.267,0.2870
